region_name,Shape *,SOURCE_ID,TFR,female_workers,foreigner_households,childcare_centers,population_density,net_migration_rate,local_population_growth,foreign_marriage_rate,Shape_Length,Shape_Area,Intercept,Std. Error (INTRCPT),Pseudo-T (INTRCPT),Significance (INTRCPT),Coefficient (FEMALE_WORKERS),Std. Error (FEMALE_WORKERS),Pseudo-T (FEMALE_WORKERS),Significance (FEMALE_WORKERS),Coefficient (FOREIGNER_HOUSEHOLDS),Std. Error (FOREIGNER_HOUSEHOLDS),Pseudo-T (FOREIGNER_HOUSEHOLDS),Significance (FOREIGNER_HOUSEHOLDS),Coefficient (CHILDCARE_CENTERS),Std. Error (CHILDCARE_CENTERS),Pseudo-T (CHILDCARE_CENTERS),Significance (CHILDCARE_CENTERS),Coefficient (POPULATION_DENSITY),Std. Error (POPULATION_DENSITY),Pseudo-T (POPULATION_DENSITY),Significance (POPULATION_DENSITY),Coefficient (NET_MIGRATION_RATE),Std. Error (NET_MIGRATION_RATE),Pseudo-T (NET_MIGRATION_RATE),Significance (NET_MIGRATION_RATE),Coefficient (LOCAL_POPULATION_GROWTH),Std. Error (LOCAL_POPULATION_GROWTH),Pseudo-T (LOCAL_POPULATION_GROWTH),Significance (LOCAL_POPULATION_GROWTH),Coefficient (FOREIGN_MARRIAGE_RATE),Std. Error (FOREIGN_MARRIAGE_RATE),Pseudo-T (FOREIGN_MARRIAGE_RATE),Significance (FOREIGN_MARRIAGE_RATE),Predicted (TFR),Residual,Std Residual,Influence,Cook's D,Condition Number,Local R-Squared,Number of Neighbors
Icheon-si,Polygon,28,0.939,89,152,18.1,18.868728,-0.047001,-0.000564,0.091503,231125.8175,1109782908,1.227713,0.162282,7.565296,1,-0.000037,0.000369,-0.101486,0,-0.000014,0.000014,-1.000812,0,-0.011889,0.009158,-1.29815,0,-0.000053,0.000015,-3.493476,1,0.017091,0.025336,0.674571,0,-4.185159,4.798218,-0.872232,0,-0.764137,1.181906,-0.64653,0,0.937721,0.001279,0.010545,0.217055,0.000001,16834229.47,0.422094,63
Eumseong-gun,Polygon,29,0.851,44,3150,17.7,224.713676,-0.331429,0.01145,0.058522,110567.6871,459230029.8,0.934334,0.172935,5.402795,1,-0.000002,0.000278,-0.007702,0,-0.000001,0.000004,-0.211358,0,-0.006963,0.009241,-0.753553,0,-0.000032,0.000007,-4.76941,1,-0.000659,0.015581,-0.042311,0,2.191262,3.580695,0.611965,0,0.124171,1.416507,0.08766,0,0.833833,0.017167,0.14161,0.217156,0.000113,47518294.58,0.762327,63
Chungju-si,Polygon,30,0.797,25,3931,24.3,93.238742,-0.493486,0.002878,0.105016,124949.0847,513131568.2,1.046263,0.180263,5.804075,1,0.000028,0.000268,0.102796,0,-0.000002,0.000006,-0.367168,0,-0.012111,0.009908,-1.222358,0,-0.000041,0.00001,-4.051535,1,-0.011609,0.016899,-0.686984,0,4.182793,3.682146,1.135966,0,0.010693,1.58811,0.006733,0,0.759751,0.037249,0.351765,0.40272,0.001699,49239458.46,0.686795,63
Jecheon-si,Polygon,31,0.942,40,2257,16.3,104.060841,0.571747,0.012891,0.069335,177497.0777,990140289.4,1.140157,0.176497,6.459913,1,0.000017,0.00029,0.059962,0,-0.000005,0.000008,-0.567878,0,-0.012127,0.009593,-1.264161,0,-0.00005,0.000013,-3.745009,1,-0.009171,0.01981,-0.462972,0,1.535474,4.126346,0.372115,0,-0.569845,1.614577,-0.352937,0,0.902759,0.039241,0.319241,0.195178,0.000503,39076756.03,0.610592,63
Danyang-gun,Polygon,32,0.922,32.1,747,15.4,74.819573,-0.086314,0.0092,0.05799,187818.1224,866832576.8,1.211864,0.177858,6.813649,1,-0.000026,0.000307,-0.083458,0,-0.000006,0.00001,-0.60511,0,-0.014408,0.009635,-1.495372,0,-0.000052,0.000014,-3.600642,1,0.004404,0.021474,0.205098,0,-1.726658,4.294972,-0.402019,0,-0.439198,1.341992,-0.327273,0,0.939019,-0.017019,-0.138446,0.195115,0.000095,26702904.21,0.537207,63
Yeongju-si,Polygon,33,0.751,2,116,26.3,19.571458,1.558408,0.012464,0.073171,136832.6831,764467255.5,1.283754,0.16058,7.994491,1,-0.000122,0.000299,-0.409118,0,-0.000006,0.000011,-0.507567,0,-0.017934,0.008812,-2.035152,0,-0.000067,0.000033,-2.036607,0,0.029,0.024336,1.191644,0,-4.032513,4.519153,-0.892316,0,-0.096264,1.159175,-0.083045,0,0.797761,-0.046761,-0.528895,0.583641,0.007985,19753790.92,0.522042,63
Bonghwa-gun,Polygon,34,0.863,21,402,17.5,76.412024,0.785641,0.015001,0.089463,133200.0519,679311995.3,1.295803,0.146997,8.815167,1,-0.000173,0.000262,-0.658863,0,-0.000004,0.000012,-0.345064,0,-0.019423,0.008094,-2.399629,0,-0.000068,0.000034,-1.999794,0,0.046861,0.0266,1.761681,0,-4.754558,4.632765,-1.026289,0,0.329723,1.111179,0.296733,0,0.940437,-0.077437,-0.63684,0.212427,0.002228,17280804.07,0.538732,63
Yeongyang-gun,Polygon,35,0.915,8,118,19.8,14.001781,-0.523093,-0.000416,0.131313,180747.2983,1193490543,1.252462,0.151721,8.25502,1,-0.000186,0.000343,-0.543331,0,-0.000004,0.000014,-0.295194,0,-0.015718,0.008337,-1.885384,0,-0.000061,0.000039,-1.590779,0,0.060038,0.030489,1.969173,0,-6.074485,5.040927,-1.205033,0,0.227012,1.151493,0.197146,0,0.939337,-0.024337,-0.20759,0.267919,0.000321,15782787.2,0.49546,63
Goesan-gun,Polygon,36,0.755,3,100,19.2,10.97753,-1.256393,-0.008379,0.12,126283.7329,798748909.8,1.230138,0.155519,7.909873,1,-0.000086,0.000483,-0.17869,0,-0.000003,0.000017,-0.181809,0,-0.016568,0.008344,-1.985539,0,-0.000062,0.00004,-1.561905,0,0.065983,0.029358,2.247506,0,-4.504022,4.715448,-0.955163,0,0.738777,1.121884,0.658515,0,0.954274,-0.199274,-1.687429,0.257156,0.020074,17310023.08,0.527688,63
Mungyeong-si,Polygon,37,0.689,1,287,20.3,25.294753,0.431844,-0.002014,0.107595,164616.3103,839084129.3,1.2034,0.163104,7.378121,1,-0.000001,0.000232,-0.003121,0,-0.000001,0.000007,-0.198042,0,-0.015412,0.007785,-1.979752,0,-0.000076,0.000027,-2.816906,1,-0.004999,0.019711,-0.25362,0,1.761422,3.939133,0.44716,0,-0.685191,1.35061,-0.50732,0,0.808782,-0.119782,-1.030133,0.279808,0.008396,39205262.37,0.599527,63
